ID;Curr;ISOCountryCode;FinancialCentre;EventDate;EventDayOfWeek;Day;HolidayDate
36;AED;AE;Dubai;20171201;Fri;Prophet's Birthday*;01/12/2017
37;AED;AE;Dubai;20171202;Sat;U.A.E. National Day 1;02/12/2017
38;AED;AE;Dubai;20180101;Mon;New Year's Day;01/01/2018
39;AED;AE;Dubai;20180414;Sat;Lailat al Miraj (Ascension)*;14/04/2018
40;AED;AE;Dubai;20180615;Fri;El-Fitr 1*;15/06/2018
41;AED;AE;Dubai;20180616;Sat;El-Fitr 2*;16/06/2018
42;AED;AE;Dubai;20180617;Sun;El-Fitr 3*;17/06/2018
43;AED;AE;Dubai;20180821;Tue;El-Adha 1*;21/08/2018
44;AED;AE;Dubai;20180822;Wed;El-Adha 2*;22/08/2018
45;AED;AE;Dubai;20180823;Thu;El-Adha 3*;23/08/2018
46;AED;AE;Dubai;20180824;Fri;El-Adha 4*;24/08/2018
47;AED;AE;Dubai;20180911;Tue;Islamic New Year*;11/09/2018
48;AED;AE;Dubai;20181120;Tue;Prophet's Birthday*;20/11/2018
49;AED;AE;Dubai;20181202;Sun;U.A.E. National Day 1;02/12/2018
50;AED;AE;Dubai;20190101;Tue;New Year's Day;01/01/2019
51;AED;AE;Dubai;20190402;Tue;Lailat al Miraj (Ascension)*;02/04/2019
52;AED;AE;Dubai;20190605;Wed;El-Fitr 1*;05/06/2019
53;AED;AE;Dubai;20190606;Thu;El-Fitr 2*;06/06/2019
54;AED;AE;Dubai;20190607;Fri;El-Fitr 3*;07/06/2019
55;AED;AE;Dubai;20190810;Sat;El-Adha 1*;10/08/2019
56;AED;AE;Dubai;20190811;Sun;El-Adha 2*;11/08/2019
57;AED;AE;Dubai;20190812;Mon;El-Adha 3*;12/08/2019
58;AED;AE;Dubai;20190813;Tue;El-Adha 4*;13/08/2019
59;AED;AE;Dubai;20190901;Sun;Islamic New Year*;01/09/2019
60;AED;AE;Dubai;20191109;Sat;Prophet's Birthday*;09/11/2019
61;AED;AE;Dubai;20191202;Mon;U.A.E. National Day 1;02/12/2019
62;AED;AE;Dubai;20200101;Wed;New Year's Day;01/01/2020
63;AED;AE;Dubai;20200322;Sun;Lailat al Miraj (Ascension)*;22/03/2020
64;AED;AE;Dubai;20200524;Sun;El-Fitr 1*;24/05/2020
65;AED;AE;Dubai;20200525;Mon;El-Fitr 2*;25/05/2020
66;AED;AE;Dubai;20200526;Tue;El-Fitr 3*;26/05/2020
67;AED;AE;Dubai;20200730;Thu;El-Adha 1*;30/07/2020
68;AED;AE;Dubai;20200731;Fri;El-Adha 2*;31/07/2020
69;AED;AE;Dubai;20200801;Sat;El-Adha 3*;01/08/2020
70;AED;AE;Dubai;20200802;Sun;El-Adha 4*;02/08/2020
71;AED;AE;Dubai;20200820;Thu;Islamic New Year*;20/08/2020
72;AED;AE;Dubai;20201029;Thu;Prophet's Birthday*;29/10/2020
428;AFN;AF;Kabul;20171201;Fri;Mohemmed's Birthday*;01/12/2017
429;AFN;AF;Kabul;20180215;Thu;Liberation Day;15/02/2018
430;AFN;AF;Kabul;20180321;Wed;Noruz (New Year) 1;21/03/2018
431;AFN;AF;Kabul;20180428;Sat;Victory Day;28/04/2018
432;AFN;AF;Kabul;20180517;Thu;Ramadan*;17/05/2018
433;AFN;AF;Kabul;20180615;Fri;Eid ul Fitr 1*;15/06/2018
434;AFN;AF;Kabul;20180616;Sat;Eid ul Fitr 2*;16/06/2018
435;AFN;AF;Kabul;20180617;Sun;Eid ul Fitr 3*;17/06/2018
436;AFN;AF;Kabul;20180819;Sun;National Day;19/08/2018
437;AFN;AF;Kabul;20180822;Wed;Eid ul Adha 1*;22/08/2018
438;AFN;AF;Kabul;20180823;Thu;Eid ul Adha 2*;23/08/2018
439;AFN;AF;Kabul;20180824;Fri;Eid ul Adha 3*;24/08/2018
440;AFN;AF;Kabul;20180909;Sun;Ahmed Shah Masoud Memorial Day;09/09/2018
441;AFN;AF;Kabul;20180920;Thu;Ashoora*;20/09/2018
442;AFN;AF;Kabul;20181120;Tue;Mohemmed's Birthday*;20/11/2018
443;AFN;AF;Kabul;20190215;Fri;Liberation Day;15/02/2019
444;AFN;AF;Kabul;20190321;Thu;Noruz (New Year) 1;21/03/2019
445;AFN;AF;Kabul;20190428;Sun;Victory Day;28/04/2019
446;AFN;AF;Kabul;20190506;Mon;Ramadan*;06/05/2019
447;AFN;AF;Kabul;20190605;Wed;Eid ul Fitr 1*;05/06/2019
448;AFN;AF;Kabul;20190606;Thu;Eid ul Fitr 2*;06/06/2019
449;AFN;AF;Kabul;20190607;Fri;Eid ul Fitr 3*;07/06/2019
450;AFN;AF;Kabul;20190811;Sun;Eid ul Adha 1*;11/08/2019
451;AFN;AF;Kabul;20190812;Mon;Eid ul Adha 2*;12/08/2019
452;AFN;AF;Kabul;20190813;Tue;Eid ul Adha 3*;13/08/2019
453;AFN;AF;Kabul;20190819;Mon;National Day;19/08/2019
454;AFN;AF;Kabul;20190909;Mon;Ahmed Shah Masoud Memorial Day;09/09/2019
455;AFN;AF;Kabul;20190910;Tue;Ashoora*;10/09/2019
456;AFN;AF;Kabul;20191109;Sat;Mohemmed's Birthday*;09/11/2019
457;AFN;AF;Kabul;20200215;Sat;Liberation Day;15/02/2020
458;AFN;AF;Kabul;20200321;Sat;Noruz (New Year) 1;21/03/2020
459;AFN;AF;Kabul;20200424;Fri;Ramadan*;24/04/2020
460;AFN;AF;Kabul;20200428;Tue;Victory Day;28/04/2020
461;AFN;AF;Kabul;20200524;Sun;Eid ul Fitr 1*;24/05/2020
462;AFN;AF;Kabul;20200525;Mon;Eid ul Fitr 2*;25/05/2020
463;AFN;AF;Kabul;20200526;Tue;Eid ul Fitr 3*;26/05/2020
464;AFN;AF;Kabul;20200731;Fri;Eid ul Adha 1*;31/07/2020
465;AFN;AF;Kabul;20200801;Sat;Eid ul Adha 2*;01/08/2020
466;AFN;AF;Kabul;20200802;Sun;Eid ul Adha 3*;02/08/2020
467;AFN;AF;Kabul;20200819;Wed;National Day;19/08/2020
468;AFN;AF;Kabul;20200829;Sat;Ashoora*;29/08/2020
469;AFN;AF;Kabul;20200909;Wed;Ahmed Shah Masoud Memorial Day;09/09/2020
470;AFN;AF;Kabul;20201029;Thu;Mohemmed's Birthday*;29/10/2020
873;ALL;AL;Tirana;20171128;Tue;Independence Day;28/11/2017
874;ALL;AL;Tirana;20171129;Wed;Liberation Day;29/11/2017
875;ALL;AL;Tirana;20171208;Fri;National Youth Day;08/12/2017
876;ALL;AL;Tirana;20171225;Mon;Christmas Day;25/12/2017
877;ALL;AL;Tirana;20180101;Mon;New Year's Day;01/01/2018
878;ALL;AL;Tirana;20180102;Tue;New Year's Holiday;02/01/2018
879;ALL;AL;Tirana;20180314;Wed;Springs Day;14/03/2018
880;ALL;AL;Tirana;20180322;Thu;Nevruz;22/03/2018
881;ALL;AL;Tirana;20180401;Sun;Easter Sunday;01/04/2018
882;ALL;AL;Tirana;20180408;Sun;Easter Sunday (Orthodox);08/04/2018
883;ALL;AL;Tirana;20180501;Tue;Labour Day;01/05/2018
884;ALL;AL;Tirana;20180615;Fri;Last Day of Ramadan*;15/06/2018
885;ALL;AL;Tirana;20180822;Wed;Sacrifice Day*;22/08/2018
886;ALL;AL;Tirana;20181019;Fri;Beatification Day of Mother Teresa;19/10/2018
887;ALL;AL;Tirana;20181128;Wed;Independence Day;28/11/2018
888;ALL;AL;Tirana;20181129;Thu;Liberation Day;29/11/2018
889;ALL;AL;Tirana;20181208;Sat;National Youth Day;08/12/2018
890;ALL;AL;Tirana;20181225;Tue;Christmas Day;25/12/2018
891;ALL;AL;Tirana;20190101;Tue;New Year's Day;01/01/2019
892;ALL;AL;Tirana;20190102;Wed;New Year's Holiday;02/01/2019
893;ALL;AL;Tirana;20190314;Thu;Springs Day;14/03/2019
894;ALL;AL;Tirana;20190322;Fri;Nevruz;22/03/2019
895;ALL;AL;Tirana;20190421;Sun;Easter Sunday;21/04/2019
896;ALL;AL;Tirana;20190428;Sun;Easter Sunday (Orthodox);28/04/2019
897;ALL;AL;Tirana;20190501;Wed;Labour Day;01/05/2019
898;ALL;AL;Tirana;20190605;Wed;Last Day of Ramadan*;05/06/2019
899;ALL;AL;Tirana;20190811;Sun;Sacrifice Day*;11/08/2019
900;ALL;AL;Tirana;20191019;Sat;Beatification Day of Mother Teresa;19/10/2019
901;ALL;AL;Tirana;20191128;Thu;Independence Day;28/11/2019
902;ALL;AL;Tirana;20191129;Fri;Liberation Day;29/11/2019
903;ALL;AL;Tirana;20191208;Sun;National Youth Day;08/12/2019
904;ALL;AL;Tirana;20191225;Wed;Christmas Day;25/12/2019
905;ALL;AL;Tirana;20200101;Wed;New Year's Day;01/01/2020
906;ALL;AL;Tirana;20200102;Thu;New Year's Holiday;02/01/2020
907;ALL;AL;Tirana;20200314;Sat;Springs Day;14/03/2020
908;ALL;AL;Tirana;20200322;Sun;Nevruz;22/03/2020
909;ALL;AL;Tirana;20200412;Sun;Easter Sunday;12/04/2020
910;ALL;AL;Tirana;20200419;Sun;Easter Sunday (Orthodox);19/04/2020
911;ALL;AL;Tirana;20200501;Fri;Labour Day;01/05/2020
912;ALL;AL;Tirana;20200524;Sun;Last Day of Ramadan*;24/05/2020
913;ALL;AL;Tirana;20200731;Fri;Sacrifice Day*;31/07/2020
914;ALL;AL;Tirana;20201019;Mon;Beatification Day of Mother Teresa;19/10/2020
1332;AMD;AM;Yerevan;20171231;Sun;New Year's Eve Holiday;31/12/2017
1333;AMD;AM;Yerevan;20180101;Mon;New Year's Day;01/01/2018
1334;AMD;AM;Yerevan;20180102;Tue;New Year's Holiday;02/01/2018
1335;AMD;AM;Yerevan;20180103;Wed;Additional Holiday 1;03/01/2018
1336;AMD;AM;Yerevan;20180104;Thu;Additional Holiday 2;04/01/2018
1337;AMD;AM;Yerevan;20180105;Fri;Additional Holiday 3;05/01/2018
1338;AMD;AM;Yerevan;20180106;Sat;Armenian Christmas;06/01/2018
1339;AMD;AM;Yerevan;20180107;Sun;Additional Holiday 4;07/01/2018
1340;AMD;AM;Yerevan;20180128;Sun;Army Day;28/01/2018
1341;AMD;AM;Yerevan;20180308;Thu;International Women's Day;08/03/2018
1342;AMD;AM;Yerevan;20180424;Tue;Genocide Memorial Day;24/04/2018
1343;AMD;AM;Yerevan;20180501;Tue;Labour Day;01/05/2018
1344;AMD;AM;Yerevan;20180509;Wed;Victory and Peace Day;09/05/2018
1345;AMD;AM;Yerevan;20180528;Mon;First Republic Day;28/05/2018
1346;AMD;AM;Yerevan;20180705;Thu;Constitution Day;05/07/2018
1347;AMD;AM;Yerevan;20180921;Fri;Independence Day;21/09/2018
1348;AMD;AM;Yerevan;20181231;Mon;New Year's Eve Holiday;31/12/2018
1349;AMD;AM;Yerevan;20190101;Tue;New Year's Day;01/01/2019
1350;AMD;AM;Yerevan;20190102;Wed;New Year's Holiday;02/01/2019
1351;AMD;AM;Yerevan;20190103;Thu;Additional Holiday 1;03/01/2019
1352;AMD;AM;Yerevan;20190104;Fri;Additional Holiday 2;04/01/2019
1353;AMD;AM;Yerevan;20190105;Sat;Additional Holiday 3;05/01/2019
1354;AMD;AM;Yerevan;20190106;Sun;Armenian Christmas;06/01/2019
1355;AMD;AM;Yerevan;20190107;Mon;Additional Holiday 4;07/01/2019
1356;AMD;AM;Yerevan;20190128;Mon;Army Day;28/01/2019
1357;AMD;AM;Yerevan;20190308;Fri;International Women's Day;08/03/2019
1358;AMD;AM;Yerevan;20190424;Wed;Genocide Memorial Day;24/04/2019
1359;AMD;AM;Yerevan;20190501;Wed;Labour Day;01/05/2019
1360;AMD;AM;Yerevan;20190509;Thu;Victory and Peace Day;09/05/2019
1361;AMD;AM;Yerevan;20190528;Tue;First Republic Day;28/05/2019
1362;AMD;AM;Yerevan;20190705;Fri;Constitution Day;05/07/2019
1363;AMD;AM;Yerevan;20190921;Sat;Independence Day;21/09/2019
1364;AMD;AM;Yerevan;20191231;Tue;New Year's Eve Holiday;31/12/2019
1365;AMD;AM;Yerevan;20200101;Wed;New Year's Day;01/01/2020
1366;AMD;AM;Yerevan;20200102;Thu;New Year's Holiday;02/01/2020
1367;AMD;AM;Yerevan;20200103;Fri;Additional Holiday 1;03/01/2020
1368;AMD;AM;Yerevan;20200104;Sat;Additional Holiday 2;04/01/2020
1369;AMD;AM;Yerevan;20200105;Sun;Additional Holiday 3;05/01/2020
1370;AMD;AM;Yerevan;20200106;Mon;Armenian Christmas;06/01/2020
1371;AMD;AM;Yerevan;20200107;Tue;Additional Holiday 4;07/01/2020
1372;AMD;AM;Yerevan;20200128;Tue;Army Day;28/01/2020
1373;AMD;AM;Yerevan;20200308;Sun;International Women's Day;08/03/2020
1374;AMD;AM;Yerevan;20200424;Fri;Genocide Memorial Day;24/04/2020
1375;AMD;AM;Yerevan;20200501;Fri;Labour Day;01/05/2020
1376;AMD;AM;Yerevan;20200509;Sat;Victory and Peace Day;09/05/2020
1377;AMD;AM;Yerevan;20200528;Thu;First Republic Day;28/05/2020
1378;AMD;AM;Yerevan;20200705;Sun;Constitution Day;05/07/2020
1379;AMD;AM;Yerevan;20200921;Mon;Independence Day;21/09/2020
1828;ANG;AN;Netherlands Antilles Guilder;20171225;Mon;Christmas Day;25/12/2017
1829;ANG;AN;Netherlands Antilles Guilder;20171226;Tue;Boxing Day;26/12/2017
1830;ANG;AN;Netherlands Antilles Guilder;20180101;Mon;New Year's Day;01/01/2018
1831;ANG;AN;Netherlands Antilles Guilder;20180212;Mon;Carnival Day;12/02/2018
1832;ANG;AN;Netherlands Antilles Guilder;20180330;Fri;Good Friday;30/03/2018
1833;ANG;AN;Netherlands Antilles Guilder;20180402;Mon;Easter Monday;02/04/2018
1834;ANG;AN;Netherlands Antilles Guilder;20180427;Fri;King's Birthday;27/04/2018
1835;ANG;AN;Netherlands Antilles Guilder;20180501;Tue;Labour Day;01/05/2018
1836;ANG;AN;Netherlands Antilles Guilder;20180510;Thu;Ascension Day;10/05/2018
1837;ANG;AN;Netherlands Antilles Guilder;20180702;Mon;National Flag and Anthem Day;02/07/2018
1838;ANG;AN;Netherlands Antilles Guilder;20181010;Wed;Curacao Day;10/10/2018
1839;ANG;AN;Netherlands Antilles Guilder;20181225;Tue;Christmas Day;25/12/2018
1840;ANG;AN;Netherlands Antilles Guilder;20181226;Wed;Boxing Day;26/12/2018
1841;ANG;AN;Netherlands Antilles Guilder;20190101;Tue;New Year's Day;01/01/2019
1842;ANG;AN;Netherlands Antilles Guilder;20190304;Mon;Carnival Day;04/03/2019
1843;ANG;AN;Netherlands Antilles Guilder;20190419;Fri;Good Friday;19/04/2019
1844;ANG;AN;Netherlands Antilles Guilder;20190422;Mon;Easter Monday;22/04/2019
1845;ANG;AN;Netherlands Antilles Guilder;20190427;Sat;King's Birthday;27/04/2019
1846;ANG;AN;Netherlands Antilles Guilder;20190501;Wed;Labour Day;01/05/2019
1847;ANG;AN;Netherlands Antilles Guilder;20190530;Thu;Ascension Day;30/05/2019
1848;ANG;AN;Netherlands Antilles Guilder;20190702;Tue;National Flag and Anthem Day;02/07/2019
1849;ANG;AN;Netherlands Antilles Guilder;20191010;Thu;Curacao Day;10/10/2019
1850;ANG;AN;Netherlands Antilles Guilder;20191225;Wed;Christmas Day;25/12/2019
1851;ANG;AN;Netherlands Antilles Guilder;20191226;Thu;Boxing Day;26/12/2019
1852;ANG;AN;Netherlands Antilles Guilder;20200101;Wed;New Year's Day;01/01/2020
1853;ANG;AN;Netherlands Antilles Guilder;20200224;Mon;Carnival Day;24/02/2020
1854;ANG;AN;Netherlands Antilles Guilder;20200410;Fri;Good Friday;10/04/2020
1855;ANG;AN;Netherlands Antilles Guilder;20200413;Mon;Easter Monday;13/04/2020
1856;ANG;AN;Netherlands Antilles Guilder;20200427;Mon;King's Birthday;27/04/2020
1857;ANG;AN;Netherlands Antilles Guilder;20200501;Fri;Labour Day;01/05/2020
1858;ANG;AN;Netherlands Antilles Guilder;20200521;Thu;Ascension Day;21/05/2020
1859;ANG;AN;Netherlands Antilles Guilder;20200702;Thu;National Flag and Anthem Day;02/07/2020
1860;ANG;AN;Netherlands Antilles Guilder;20201010;Sat;Curacao Day;10/10/2020
2184;AOA;AO;Luanda;20171225;Mon;Christmas Day;25/12/2017
2185;AOA;AO;Luanda;20180101;Mon;New Year's Day;01/01/2018
2186;AOA;AO;Luanda;20180125;Thu;Luanda Day;25/01/2018
2187;AOA;AO;Luanda;20180205;Mon;Start of Liberation War OBS;05/02/2018
2188;AOA;AO;Luanda;20180213;Tue;Carnival Day;13/02/2018
2189;AOA;AO;Luanda;20180308;Thu;International Women's Day;08/03/2018
2190;AOA;AO;Luanda;20180330;Fri;Good Friday;30/03/2018
2191;AOA;AO;Luanda;20180404;Wed;Peace Day;04/04/2018
2192;AOA;AO;Luanda;20180501;Tue;Labour Day;01/05/2018
2193;AOA;AO;Luanda;20180917;Mon;National Heroes' Day;17/09/2018
2194;AOA;AO;Luanda;20181102;Fri;All Soul's Day;02/11/2018
2195;AOA;AO;Luanda;20181112;Mon;Independence Day OBS;12/11/2018
2196;AOA;AO;Luanda;20181225;Tue;Christmas Day;25/12/2018
2197;AOA;AO;Luanda;20190101;Tue;New Year's Day;01/01/2019
2198;AOA;AO;Luanda;20190125;Fri;Luanda Day;25/01/2019
2199;AOA;AO;Luanda;20190204;Mon;Start of Liberation War;04/02/2019
2200;AOA;AO;Luanda;20190305;Tue;Carnival Day;05/03/2019
2201;AOA;AO;Luanda;20190308;Fri;International Women's Day;08/03/2019
2202;AOA;AO;Luanda;20190404;Thu;Peace Day;04/04/2019
2203;AOA;AO;Luanda;20190419;Fri;Good Friday;19/04/2019
2204;AOA;AO;Luanda;20190501;Wed;Labour Day;01/05/2019
2205;AOA;AO;Luanda;20190917;Tue;National Heroes' Day;17/09/2019
2206;AOA;AO;Luanda;20191102;Sat;All Soul's Day;02/11/2019
2207;AOA;AO;Luanda;20191111;Mon;Independence Day;11/11/2019
2208;AOA;AO;Luanda;20191225;Wed;Christmas Day;25/12/2019
2209;AOA;AO;Luanda;20200101;Wed;New Year's Day;01/01/2020
2210;AOA;AO;Luanda;20200125;Sat;Luanda Day;25/01/2020
2211;AOA;AO;Luanda;20200204;Tue;Start of Liberation War;04/02/2020
2212;AOA;AO;Luanda;20200225;Tue;Carnival Day;25/02/2020
2213;AOA;AO;Luanda;20200309;Mon;International Women's Day OBS;09/03/2020
2214;AOA;AO;Luanda;20200404;Sat;Peace Day;04/04/2020
2215;AOA;AO;Luanda;20200410;Fri;Good Friday;10/04/2020
2216;AOA;AO;Luanda;20200501;Fri;Labour Day;01/05/2020
2217;AOA;AO;Luanda;20200917;Thu;National Heroes' Day;17/09/2020
2218;AOA;AO;Luanda;20201102;Mon;All Soul's Day;02/11/2020
2219;AOA;AO;Luanda;20201111;Wed;Independence Day;11/11/2020
2586;ARS;AR;Buenos Aires;20171208;Fri;Immaculate Conception;08/12/2017
2587;ARS;AR;Buenos Aires;20171225;Mon;Christmas Day;25/12/2017
2588;ARS;AR;Buenos Aires;20180101;Mon;New Year's Day;01/01/2018
2589;ARS;AR;Buenos Aires;20180212;Mon;Carnival Monday;12/02/2018
2590;ARS;AR;Buenos Aires;20180213;Tue;Carnival Tuesday;13/02/2018
2591;ARS;AR;Buenos Aires;20180324;Sat;Truth and Justice Day;24/03/2018
2592;ARS;AR;Buenos Aires;20180329;Thu;Holy Thursday;29/03/2018
2593;ARS;AR;Buenos Aires;20180330;Fri;Good Friday;30/03/2018
2594;ARS;AR;Buenos Aires;20180402;Mon;Malvinas Islands Memorial;02/04/2018
2595;ARS;AR;Buenos Aires;20180501;Tue;Workers' Day;01/05/2018
2596;ARS;AR;Buenos Aires;20180525;Fri;National Holiday;25/05/2018
2597;ARS;AR;Buenos Aires;20180620;Wed;Flag Day;20/06/2018
2598;ARS;AR;Buenos Aires;20180709;Mon;Independence Day;09/07/2018
2599;ARS;AR;Buenos Aires;20180820;Mon;Anniversary of the Death of General San Martin;20/08/2018
2600;ARS;AR;Buenos Aires;20181008;Mon;Day of Respect for Cultural Diversity;08/10/2018
2601;ARS;AR;Buenos Aires;20181106;Tue;Bank Holiday;06/11/2018
2602;ARS;AR;Buenos Aires;20181126;Mon;National Sovereignty Day;26/11/2018
2603;ARS;AR;Buenos Aires;20181208;Sat;Immaculate Conception;08/12/2018
2604;ARS;AR;Buenos Aires;20181225;Tue;Christmas Day;25/12/2018
2605;ARS;AR;Buenos Aires;20190101;Tue;New Year's Day;01/01/2019
2606;ARS;AR;Buenos Aires;20190304;Mon;Carnival Monday;04/03/2019
2607;ARS;AR;Buenos Aires;20190305;Tue;Carnival Tuesday;05/03/2019
2608;ARS;AR;Buenos Aires;20190324;Sun;Truth and Justice Day;24/03/2019
2609;ARS;AR;Buenos Aires;20190402;Tue;Malvinas Islands Memorial;02/04/2019
2610;ARS;AR;Buenos Aires;20190418;Thu;Holy Thursday;18/04/2019
2611;ARS;AR;Buenos Aires;20190419;Fri;Good Friday;19/04/2019
2612;ARS;AR;Buenos Aires;20190501;Wed;Workers' Day;01/05/2019
2613;ARS;AR;Buenos Aires;20190525;Sat;National Holiday;25/05/2019
2614;ARS;AR;Buenos Aires;20190620;Thu;Flag Day;20/06/2019
2615;ARS;AR;Buenos Aires;20190709;Tue;Independence Day;09/07/2019
2616;ARS;AR;Buenos Aires;20190819;Mon;Anniversary of the Death of General San Martin;19/08/2019
2617;ARS;AR;Buenos Aires;20191014;Mon;Day of Respect for Cultural Diversity;14/10/2019
2618;ARS;AR;Buenos Aires;20191106;Wed;Bank Holiday;06/11/2019
2619;ARS;AR;Buenos Aires;20191125;Mon;National Sovereignty Day;25/11/2019
2620;ARS;AR;Buenos Aires;20191208;Sun;Immaculate Conception;08/12/2019
2621;ARS;AR;Buenos Aires;20191225;Wed;Christmas Day;25/12/2019
2622;ARS;AR;Buenos Aires;20200101;Wed;New Year's Day;01/01/2020
2623;ARS;AR;Buenos Aires;20200224;Mon;Carnival Monday;24/02/2020
2624;ARS;AR;Buenos Aires;20200225;Tue;Carnival Tuesday;25/02/2020
2625;ARS;AR;Buenos Aires;20200324;Tue;Truth and Justice Day;24/03/2020
2626;ARS;AR;Buenos Aires;20200402;Thu;Malvinas Islands Memorial;02/04/2020
2627;ARS;AR;Buenos Aires;20200409;Thu;Holy Thursday;09/04/2020
2628;ARS;AR;Buenos Aires;20200410;Fri;Good Friday;10/04/2020
2629;ARS;AR;Buenos Aires;20200501;Fri;Workers' Day;01/05/2020
2630;ARS;AR;Buenos Aires;20200525;Mon;National Holiday;25/05/2020
2631;ARS;AR;Buenos Aires;20200620;Sat;Flag Day;20/06/2020
2632;ARS;AR;Buenos Aires;20200709;Thu;Independence Day;09/07/2020
2633;ARS;AR;Buenos Aires;20200817;Mon;Anniversary of the Death of General San Martin;17/08/2020
2634;ARS;AR;Buenos Aires;20201012;Mon;Day of Respect for Cultural Diversity;12/10/2020
2635;ARS;AR;Buenos Aires;20201106;Fri;Bank Holiday;06/11/2020
2636;ARS;AR;Buenos Aires;20201123;Mon;National Sovereignty Day;23/11/2020
3112;AUD;AU;Sydney;20171225;Mon;Christmas Day;25/12/2017
3113;AUD;AU;Sydney;20171226;Tue;Boxing Day;26/12/2017
3114;AUD;AU;Sydney;20180101;Mon;New Year's Day;01/01/2018
3115;AUD;AU;Sydney;20180126;Fri;Australia Day;26/01/2018
3116;AUD;AU;Sydney;20180330;Fri;Good Friday;30/03/2018
3117;AUD;AU;Sydney;20180331;Sat;Easter Saturday;31/03/2018
3118;AUD;AU;Sydney;20180402;Mon;Easter Monday;02/04/2018
3119;AUD;AU;Sydney;20180425;Wed;ANZAC Day;25/04/2018
3120;AUD;AU;Sydney;20180611;Mon;Queen's Birthday;11/06/2018
3121;AUD;AU;Sydney;20180806;Mon;Bank Holiday - NSW;06/08/2018
3122;AUD;AU;Sydney;20181001;Mon;Labour Day - NSW;01/10/2018
3123;AUD;AU;Sydney;20181225;Tue;Christmas Day;25/12/2018
3124;AUD;AU;Sydney;20181226;Wed;Boxing Day;26/12/2018
3125;AUD;AU;Sydney;20190101;Tue;New Year's Day;01/01/2019
3126;AUD;AU;Sydney;20190128;Mon;Australia Day OBS;28/01/2019
3127;AUD;AU;Sydney;20190419;Fri;Good Friday;19/04/2019
3128;AUD;AU;Sydney;20190420;Sat;Easter Saturday;20/04/2019
3129;AUD;AU;Sydney;20190422;Mon;Easter Monday;22/04/2019
3130;AUD;AU;Sydney;20190425;Thu;ANZAC Day;25/04/2019
3131;AUD;AU;Sydney;20190610;Mon;Queen's Birthday;10/06/2019
3132;AUD;AU;Sydney;20190805;Mon;Bank Holiday - NSW;05/08/2019
3133;AUD;AU;Sydney;20191007;Mon;Labour Day - NSW;07/10/2019
3134;AUD;AU;Sydney;20191225;Wed;Christmas Day;25/12/2019
3135;AUD;AU;Sydney;20191226;Thu;Boxing Day;26/12/2019
3136;AUD;AU;Sydney;20200101;Wed;New Year's Day;01/01/2020
3137;AUD;AU;Sydney;20200127;Mon;Australia Day OBS;27/01/2020
3138;AUD;AU;Sydney;20200410;Fri;Good Friday;10/04/2020
3139;AUD;AU;Sydney;20200411;Sat;Easter Saturday;11/04/2020
3140;AUD;AU;Sydney;20200413;Mon;Easter Monday;13/04/2020
3141;AUD;AU;Sydney;20200425;Sat;ANZAC Day;25/04/2020
3142;AUD;AU;Sydney;20200608;Mon;Queen's Birthday;08/06/2020
3143;AUD;AU;Sydney;20200803;Mon;Bank Holiday - NSW;03/08/2020
3144;AUD;AU;Sydney;20201005;Mon;Labour Day - NSW;05/10/2020
3468;AWG;AW;Oranjestad;20171225;Mon;Christmas Day;25/12/2017
3469;AWG;AW;Oranjestad;20171226;Tue;Boxing Day;26/12/2017
3470;AWG;AW;Oranjestad;20180101;Mon;New Year's Day;01/01/2018
3471;AWG;AW;Oranjestad;20180102;Tue;New Year's Holiday;02/01/2018
3472;AWG;AW;Oranjestad;20180125;Thu;G.F. Betico Croes Day;25/01/2018
3473;AWG;AW;Oranjestad;20180212;Mon;Carnival;12/02/2018
3474;AWG;AW;Oranjestad;20180318;Sun;National Anthem & Flag Day;18/03/2018
3475;AWG;AW;Oranjestad;20180330;Fri;Good Friday;30/03/2018
3476;AWG;AW;Oranjestad;20180402;Mon;Easter Monday;02/04/2018
3477;AWG;AW;Oranjestad;20180427;Fri;King's Birthday;27/04/2018
3478;AWG;AW;Oranjestad;20180501;Tue;Labour Day;01/05/2018
3479;AWG;AW;Oranjestad;20180510;Thu;Ascension Day;10/05/2018
3480;AWG;AW;Oranjestad;20181225;Tue;Christmas Day;25/12/2018
3481;AWG;AW;Oranjestad;20181226;Wed;Boxing Day;26/12/2018
3482;AWG;AW;Oranjestad;20190101;Tue;New Year's Day;01/01/2019
3483;AWG;AW;Oranjestad;20190102;Wed;New Year's Holiday;02/01/2019
3484;AWG;AW;Oranjestad;20190125;Fri;G.F. Betico Croes Day;25/01/2019
3485;AWG;AW;Oranjestad;20190304;Mon;Carnival;04/03/2019
3486;AWG;AW;Oranjestad;20190318;Mon;National Anthem & Flag Day;18/03/2019
3487;AWG;AW;Oranjestad;20190419;Fri;Good Friday;19/04/2019
3488;AWG;AW;Oranjestad;20190422;Mon;Easter Monday;22/04/2019
3489;AWG;AW;Oranjestad;20190427;Sat;King's Birthday;27/04/2019
3490;AWG;AW;Oranjestad;20190501;Wed;Labour Day;01/05/2019
3491;AWG;AW;Oranjestad;20190530;Thu;Ascension Day;30/05/2019
3492;AWG;AW;Oranjestad;20191225;Wed;Christmas Day;25/12/2019
3493;AWG;AW;Oranjestad;20191226;Thu;Boxing Day;26/12/2019
3494;AWG;AW;Oranjestad;20200101;Wed;New Year's Day;01/01/2020
